"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","","1","0","","0"
"0","","0","Create new incident record feature","1","0","Validate the incident record creation with request body as class object","0"
